points,k,execTime
100000.0,1.0,49.0
100000.0,6.0,64.0
100000.0,11.0,68.0
100000.0,16.0,77.0
100000.0,21.0,67.0
200000.0,1.0,55.0
200000.0,6.0,67.0
200000.0,11.0,63.0
200000.0,16.0,68.0
200000.0,21.0,69.0
300000.0,1.0,50.0
300000.0,6.0,63.0
300000.0,11.0,69.0
300000.0,16.0,67.0
300000.0,21.0,68.0
400000.0,1.0,49.0
400000.0,6.0,53.0
400000.0,11.0,63.0
400000.0,16.0,79.0
400000.0,21.0,72.0
500000.0,1.0,54.0
500000.0,6.0,74.0
500000.0,11.0,71.0
500000.0,16.0,75.0
500000.0,21.0,80.0
600000.0,1.0,58.0
600000.0,6.0,79.0
600000.0,11.0,64.0
600000.0,16.0,81.0
600000.0,21.0,85.0
700000.0,1.0,64.0
700000.0,6.0,68.0
700000.0,11.0,84.0
700000.0,16.0,69.0
700000.0,21.0,89.0
800000.0,1.0,65.0
800000.0,6.0,83.0
800000.0,11.0,90.0
800000.0,16.0,88.0
800000.0,21.0,86.0
900000.0,1.0,68.0
900000.0,6.0,77.0
900000.0,11.0,83.0
900000.0,16.0,89.0
900000.0,21.0,89.0
1000000.0,1.0,70.0
1000000.0,6.0,93.0
1000000.0,11.0,88.0
1000000.0,16.0,90.0
1000000.0,21.0,100.0